time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/reward,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/std,train/clip_range,train/entropy_loss,train/loss,train/value_loss,train/clip_fraction,train/learning_rate,train/approx_kl
21,3200,43008,13,-0.8670465,600,0.01037585735321045,-0.0002628091679071076,1.0376126766204834,0.2,-1.4556159913539886,1412.738525390625,2574.3576843261717,0.0,0.0001,3.6052603e-05
22,3199,45056,14,0.3983675,610,0.006979942321777344,-0.00023479016672354192,1.038322925567627,0.2,-1.4561510801315307,1508.0638427734375,2803.2072174072264,0.0,0.0001,2.3957808e-05
23,3213,47104,14,-5.932731,620,0.0070503950119018555,-0.0005783374421298504,1.0383638143539429,0.2,-1.4566332682967187,926.961669921875,2683.1580444335937,4.8828125e-05,0.0001,0.00049540796
24,3216,49152,15,2.5300033,630,0.0071846842765808105,-0.00025256315420847387,1.0379072427749634,0.2,-1.4564281821250915,1548.2122802734375,3237.5213409423827,0.0,0.0001,5.8025616e-05
25,3217,51200,15,2.8422825,640,0.008050620555877686,-0.0003391963851754554,1.0380046367645264,0.2,-1.4561550214886665,2542.991943359375,4638.895498657226,0.0,0.0001,8.3598396e-05
26,3218,53248,16,-21.677473,650,0.006630063056945801,-0.0001486580993514508,1.039123773574829,0.2,-1.4566978737711906,1871.084716796875,3546.4329986572266,0.0,0.0001,1.7345592e-05
27,3218,55296,17,40.484547,660,0.014531075954437256,-0.0009402337193023414,1.0381739139556885,0.2,-1.4570664837956429,1912.69482421875,3240.8731048583986,0.0,0.0001,0.0002625093
28,3219,57344,17,2.6564982,670,0.018569648265838623,-0.0007143621041905135,1.0367822647094727,0.2,-1.4558092698454856,1646.0240478515625,3034.653901672363,0.0,0.0001,0.0003159998
29,3218,59392,18,0.8416899,680,0.009206593036651611,-0.000259335566079244,1.0373647212982178,0.2,-1.4552854925394059,1167.772705078125,2349.669288635254,0.0,0.0001,5.932423e-05
30,3219,61440,19,-0.32521024,690,0.011307239532470703,-0.0010187213978497312,1.0383877754211426,0.2,-1.4559619262814523,1261.038330078125,2619.5265106201173,0.0,0.0001,0.00040825448
31,3216,63488,19,-0.284277,700,0.009924650192260742,-0.0006110914240707643,1.0376307964324951,0.2,-1.4562433138489723,1992.0977783203125,4414.501766967774,0.0,0.0001,0.00033450144
32,3214,65536,20,0.20777231,710,0.010032236576080322,-0.0002761662981356494,1.0411367416381836,0.2,-1.4572245910763741,2281.57958984375,4854.769616699219,0.0,0.0001,0.0002175638
33,3211,67584,21,-2.1152515,720,0.011256933212280273,-0.0005801029779831879,1.0412651300430298,0.2,-1.45948765873909,2398.62548828125,4561.824365234375,0.0,0.0001,0.00018196122
34,3213,69632,21,-3.2650442,730,0.013850986957550049,-0.0002856855586287566,1.0406546592712402,0.2,-1.4591711297631265,2038.80126953125,4663.074237060547,0.0,0.0001,4.886216e-05
35,3222,71680,22,-1.9961072,740,0.012994050979614258,-0.0002994290945935063,1.0421029329299927,0.2,-1.4592860221862793,2174.108642578125,4899.392520141601,0.0,0.0001,0.0001711105
36,3223,73728,22,7.201559,750,0.010633349418640137,-0.0003996696352260187,1.0428462028503418,0.2,-1.460542841255665,2207.591796875,4103.141674804688,0.0,0.0001,0.00010297322
37,3223,75776,23,-9.291509,760,0.016747891902923584,-0.00037448122166097166,1.0428632497787476,0.2,-1.461012715101242,1745.3638916015625,3773.351791381836,0.0,0.0001,7.26977e-05
38,3220,77824,24,5.6503916,770,0.00753474235534668,-0.0009002005535876378,1.0445234775543213,0.2,-1.4614602953195572,1994.332275390625,3857.287026977539,0.0,0.0001,0.0007771157
39,3217,79872,24,22.107098,780,0.017677605152130127,-0.0005106089796754531,1.0456498861312866,0.2,-1.4631123080849648,1960.8726806640625,2520.4947463989256,0.0,0.0001,0.00042417925
40,3214,81920,25,1.3405266,790,0.0189286470413208,-0.00019240949914092197,1.0470733642578125,0.2,-1.4640115097165107,1089.949951171875,2412.3922637939454,0.0,0.0001,2.4106179e-05
1,4154,2048,0,0.0033675411,800,-0.0038858652114868164,-0.0008579427521908656,1.0492098331451416,0.2,-1.4659018814563751,1122.6409912109375,2654.6168899536133,0.000390625,0.0001,0.0011267494
2,3564,4096,1,-0.0007884319,810,1.1920928955078125e-07,-0.0012682719650911167,1.0495989322662354,0.2,-1.4690444111824035,-0.0007154825143516064,1.7640982124605216,0.03515625,0.0001,0.0051224534
